InventoryID,Date,ProductID,StoreID,OpeningStock,PurchaseQty,SalesQty,ClosingStock
INV00001,16-05-2025,P00001,S0033,46,12,3,55
INV00002,25-04-2025,P00001,S0057,61,19,3,77
INV00003,03-03-2026,P00001,S0066,46,11,6,51
INV00004,27-05-2020,P00002,S0016,107,5,10,102
INV00005,09-11-2023,P00002,S0025,114,30,4,140
INV00006,24-05-2024,P00002,S0028,126,24,8,142
INV00007,18-10-2021,P00002,S0067,156,25,8,173
INV00008,13-05-2024,P00002,S0095,103,27,2,128
INV00009,28-07-2022,P00002,S0097,31,40,1,70
INV00010,06-05-2026,P00003,S0008,90,2,5,87
INV00011,17-04-2024,P00003,S0044,87,32,8,111
INV00012,04-05-2024,P00003,S0083,30,36,7,59
INV00013,29-09-2022,P00003,S0092,146,14,8,152
INV00014,11-02-2025,P00004,S0019,36,24,3,57
INV00015,23-01-2026,P00004,S0027,82,5,3,84
INV00016,27-03-2026,P00004,S0028,149,27,1,175
INV00017,01-11-2025,P00004,S0061,74,14,5,83
INV00018,24-10-2022,P00004,S0075,76,26,4,98
INV00019,14-12-2025,P00004,S0079,65,19,2,82
INV00020,26-04-2025,P00005,S0033,111,0,7,104
INV00021,12-05-2024,P00005,S0039,55,26,8,73
INV00022,23-10-2025,P00005,S0073,108,20,9,119
INV00023,29-11-2025,P00005,S0075,119,39,7,151
INV00024,19-04-2025,P00005,S0086,72,15,1,86
INV00025,08-10-2021,P00005,S0094,147,11,8,150
INV00026,02-12-2025,P00006,S0019,71,14,9,76
INV00027,17-09-2021,P00006,S0023,100,35,1,134
INV00028,20-12-2025,P00006,S0059,67,28,6,89
INV00029,26-10-2022,P00006,S0097,81,19,8,92
INV00030,26-12-2025,P00007,S0007,60,26,7,79
INV00031,12-05-2023,P00007,S0037,147,37,7,177
INV00032,08-05-2023,P00007,S0056,53,25,6,72
INV00033,21-07-2024,P00007,S0075,41,16,1,56
INV00034,19-06-2026,P00008,S0004,37,16,3,50
INV00035,02-09-2025,P00008,S0024,105,20,9,116
INV00036,16-11-2024,P00008,S0029,95,8,6,97
INV00037,21-03-2026,P00008,S0035,42,38,1,79
INV00038,10-10-2021,P00008,S0061,132,28,6,154
INV00039,27-12-2022,P00008,S0078,149,31,2,178
INV00040,18-01-2024,P00008,S0090,43,30,6,67
INV00041,01-02-2020,P00009,S0017,95,35,8,122
INV00042,18-01-2025,P00009,S0029,115,7,5,117
INV00043,10-02-2026,P00009,S0044,100,14,9,105
INV00044,15-12-2024,P00009,S0066,128,35,8,155
INV00045,08-12-2025,P00009,S0084,134,30,6,158
INV00046,10-11-2023,P00009,S0087,74,40,10,104
INV00047,22-04-2021,P00010,S0015,98,3,8,93
INV00048,03-09-2020,P00010,S0051,83,40,3,120
INV00049,19-09-2022,P00010,S0062,120,26,10,136
INV00050,26-07-2025,P00011,S0006,108,22,6,124
INV00051,23-05-2025,P00011,S0017,21,2,1,22
INV00052,29-03-2025,P00011,S0020,113,12,3,122
INV00053,03-11-2025,P00011,S0038,147,20,2,165
INV00054,01-01-2026,P00011,S0044,150,33,10,173
INV00055,24-11-2025,P00011,S0046,96,33,2,127
INV00056,10-02-2026,P00011,S0048,124,17,1,140
INV00057,20-06-2021,P00011,S0055,147,13,2,158
INV00058,26-06-2022,P00011,S0063,91,11,8,94
INV00059,15-04-2026,P00011,S0072,80,22,7,95
INV00060,19-11-2024,P00011,S0076,139,37,5,171
INV00061,22-11-2024,P00012,S0014,150,0,5,145
INV00062,18-09-2025,P00012,S0064,35,35,3,67
INV00063,13-06-2025,P00012,S0087,46,38,1,83
INV00064,15-01-2026,P00013,S0009,152,16,3,165
INV00065,11-11-2025,P00013,S0021,75,30,9,96
INV00066,28-11-2025,P00013,S0030,77,26,3,100
