SaleID,SalesDate,ProductID,StoreID,CustomerId,quantity,DiscountPercent,TotalSaleAmount,TotalCostPrice
SL001775,03-Mar-26,P00001,S0066,C00852,6,0,474,312
SL003711,16-May-25,P00001,S0033,C00142,3,10,213.3,156
SL001653,25-Apr-25,P00001,S0057,C00822,3,0,237,156
SL000790,28-Jul-22,P00002,S0097,C00143,1,0,259,180
SL004912,18-Oct-21,P00002,S0067,C00379,8,10,1864.8,1440
SL001295,27-May-20,P00002,S0016,C00135,10,20,2072,1800
SL000326,13-May-24,P00002,S0095,C00973,2,0,518,360
SL003667,09-Nov-23,P00002,S0025,C00180,4,0,1036,720
SL000937,24-May-24,P00002,S0028,C00729,8,0,2072,1440
SL002419,29-Sep-22,P00003,S0092,C00395,8,5,600.4,520
SL001875,06-May-26,P00003,S0008,C00209,5,5,375.25,325
SL003802,17-Apr-24,P00003,S0044,C00321,8,20,505.6,520
SL002437,04-May-24,P00003,S0083,C00527,7,15,470.05,455
SL000817,23-Jan-26,P00004,S0027,C00953,3,5,624.15,447
SL001105,01-Nov-25,P00004,S0061,C00738,5,0,1095,745
SL000158,27-Mar-26,P00004,S0028,C00651,1,25,164.25,149
SL002038,24-Oct-22,P00004,S0075,C00220,4,25,657,596
SL003410,11-Feb-25,P00004,S0019,C00013,3,15,558.45,447
SL000260,14-Dec-25,P00004,S0079,C00760,2,15,372.3,298
SL003713,29-Nov-25,P00005,S0075,C00270,7,15,1541.05,1512
SL002141,12-May-24,P00005,S0039,C00673,8,5,1968.4,1728
SL003389,19-Apr-25,P00005,S0086,C00609,1,5,246.05,216
SL001944,26-Apr-25,P00005,S0033,C00057,7,20,1450.4,1512
SL002976,08-Oct-21,P00005,S0094,C00512,8,25,1554,1728
SL000051,23-Oct-25,P00005,S0073,C00671,9,5,2214.45,1944
SL002235,20-Dec-25,P00006,S0059,C00944,6,0,534,396
SL003643,17-Sep-21,P00006,S0023,C00829,1,10,80.1,66
SL000345,02-Dec-25,P00006,S0019,C00674,9,20,640.8,594
SL000919,26-Oct-22,P00006,S0097,C00704,8,20,569.6,528
SL004314,08-May-23,P00007,S0056,C00831,6,0,2034,1596
SL001935,12-May-23,P00007,S0037,C00622,7,0,2373,1862
SL000359,26-Dec-25,P00007,S0007,C00069,7,10,2135.7,1862
SL003422,21-Jul-24,P00007,S0075,C00614,1,20,271.2,266
SL001635,19-Jun-26,P00008,S0004,C00719,3,15,175.95,138
SL004558,27-Dec-22,P00008,S0078,C00480,2,0,138,92
SL003644,10-Oct-21,P00008,S0061,C00281,6,5,393.3,276
SL003349,18-Jan-24,P00008,S0090,C00522,6,5,393.3,276
SL000182,02-Sep-25,P00008,S0024,C00348,9,10,558.9,414
SL004375,16-Nov-24,P00008,S0029,C00403,6,10,372.6,276
SL001312,21-Mar-26,P00008,S0035,C00272,1,0,69,46
SL000603,15-Dec-24,P00009,S0066,C00020,8,0,3672,2560
SL003545,08-Dec-25,P00009,S0084,C00733,6,5,2616.3,1920
SL000301,10-Feb-26,P00009,S0044,C00443,9,10,3717.9,2880
SL002381,18-Jan-25,P00009,S0029,C00334,5,10,2065.5,1600
SL003877,01-Feb-20,P00009,S0017,C00699,8,20,2937.6,2560
SL001124,10-Nov-23,P00009,S0087,C00341,10,15,3901.5,3200
SL002988,22-Apr-21,P00010,S0015,C00605,8,0,2552,2112
SL000774,19-Sep-22,P00010,S0062,C00986,10,10,2871,2640
SL004189,24-Nov-25,P00011,S0046,C00014,2,5,435.1,328
SL004465,26-Jun-22,P00011,S0063,C00525,8,0,1832,1312
SL001033,03-Nov-25,P00011,S0038,C00239,2,0,458,328
SL003614,01-Jan-26,P00011,S0044,C00073,10,5,2175.5,1640
SL002699,19-Nov-24,P00011,S0076,C00594,5,5,1087.75,820
SL001831,26-Jul-25,P00011,S0006,C00447,6,0,1374,984
SL001705,29-Mar-25,P00011,S0020,C00993,3,5,652.65,492
SL001183,15-Apr-26,P00011,S0072,C00668,7,5,1522.85,1148
SL000127,20-Jun-21,P00011,S0055,C00813,2,10,412.2,328
SL000423,23-May-25,P00011,S0017,C00405,1,10,206.1,164
SL004743,10-Feb-26,P00011,S0048,C00915,1,10,206.1,164
SL001929,22-Nov-24,P00012,S0014,C00563,5,10,940.5,710
SL003177,18-Sep-25,P00012,S0064,C00529,3,0,627,426
SL004409,13-Jun-25,P00012,S0087,C00122,1,10,188.1,142
SL004549,28-Nov-25,P00013,S0030,C00044,3,20,189.6,162
SL002770,19-May-25,P00013,S0055,C00263,6,5,450.3,324
SL000732,01-Jun-20,P00013,S0092,C00856,4,0,316,216
SL004144,16-May-22,P00013,S0057,C00923,7,5,525.35,378
SL004712,09-Jan-26,P00013,S0052,C00121,7,5,525.35,378
SL003633,15-Jan-26,P00013,S0009,C00960,3,20,189.6,162
SL001819,11-Nov-25,P00013,S0021,C00661,9,0,711,486
SL001683,19-Dec-25,P00013,S0048,C00429,8,15,537.2,432
SL002999,30-May-26,P00014,S0003,C00113,5,5,375.25,310
SL002810,29-Jun-26,P00014,S0095,C00237,6,10,426.6,372
SL000254,25-Feb-25,P00015,S0099,C00871,7,0,343,245
SL003636,01-Jun-25,P00015,S0095,C00431,2,10,88.2,70
SL001438,26-Jun-23,P00015,S0051,C00771,6,10,264.6,210
SL002509,16-Oct-23,P00016,S0014,C00806,8,0,1992,1632
SL004366,06-Apr-26,P00016,S0091,C00866,8,5,1892.4,1632
SL004951,24-Sep-21,P00016,S0056,C00248,2,5,473.1,408
SL004959,17-Jan-21,P00016,S0089,C00860,2,10,448.2,408
SL001565,16-Jun-26,P00016,S0083,C00272,1,25,186.75,204
SL004413,15-Dec-23,P00016,S0082,C00489,1,25,186.75,204
SL000156,21-Apr-25,P00016,S0028,C00042,1,15,211.65,204
SL004845,17-May-26,P00017,S0006,C00780,4,0,956,656
SL000226,26-Nov-21,P00017,S0032,C00090,2,0,478,328
SL000918,29-Sep-23,P00017,S0096,C00674,5,10,1075.5,820
SL002588,03-Sep-25,P00017,S0034,C00057,8,10,1720.8,1312
SL000138,25-Mar-20,P00017,S0078,C00315,10,10,2151,1640
SL004683,21-Jun-22,P00017,S0006,C00566,1,20,191.2,164
SL003068,27-Mar-26,P00017,S0047,C00471,8,20,1529.6,1312
SL004020,11-Mar-26,P00018,S0024,C00033,5,0,2195,1750
SL000367,02-Apr-26,P00018,S0008,C00262,6,0,2634,2100
SL000871,16-Jan-26,P00018,S0096,C00749,5,0,2195,1750
SL000411,18-Jul-23,P00018,S0083,C00981,7,10,2765.7,2450
SL004140,22-Jul-23,P00018,S0066,C00445,10,15,3731.5,3500
SL000642,05-Oct-22,P00019,S0086,C00769,5,10,670.5,560
SL003050,17-May-26,P00019,S0058,C00734,10,0,1490,1120
SL004718,26-Aug-25,P00019,S0002,C00757,1,0,149,112
SL000113,28-Jun-26,P00019,S0003,C00905,2,10,268.2,224
SL002814,05-Oct-23,P00020,S0090,C00008,1,25,36.75,39
SL002434,26-Feb-26,P00020,S0039,C00408,1,20,39.2,39
SL002372,20-Sep-20,P00021,S0076,C00075,7,10,1379.7,1071
SL003997,11-Aug-25,P00021,S0083,C00425,4,10,788.4,612
SL004787,22-Aug-24,P00021,S0001,C00604,3,25,492.75,459
SL003235,18-Jul-25,P00021,S0014,C00396,9,15,1675.35,1377
SL001679,10-Sep-25,P00021,S0068,C00847,4,15,744.6,612
SL000569,12-Sep-25,P00022,S0058,C00325,8,10,712.8,520
SL001772,24-Apr-24,P00022,S0019,C00759,4,0,396,260
SL000297,08-Aug-21,P00022,S0033,C00656,5,10,445.5,325
SL000776,09-Sep-25,P00022,S0028,C00694,8,10,712.8,520
SL000945,31-Oct-24,P00022,S0015,C00166,4,10,356.4,260
SL000521,29-May-23,P00022,S0013,C00268,1,10,89.1,65
